symbol,status,start_date,end_date,total_days,duplicates,missing_days,missing_mondays,extreme_returns,zero_prices,stale_instances
NTPC.NS,OK,2005-01-03,2026-07-17,5319,0,15,2,0,0,0
POWERGRID.NS,OK,2007-10-05,2026-07-17,4633,0,14,2,0,0,0
NHPC.NS,OK,2009-09-01,2026-07-17,4166,0,11,2,0,0,2
RECLTD.NS,OK,2008-03-12,2026-07-17,4524,0,13,2,1,0,0
PFC.NS,OK,2007-02-23,2026-07-17,4787,0,14,2,0,0,0
SJVN.NS,OK,2010-05-20,2026-07-17,3993,0,11,2,0,0,16
ADANIPOWER.NS,OK,2009-08-20,2026-07-17,4174,0,11,2,2,0,0
TATAPOWER.NS,OK,2005-01-03,2026-07-17,5319,0,15,2,0,0,0
JSWENERGY.NS,OK,2010-01-04,2026-07-17,4085,0,11,2,0,0,0
TORNTPOWER.NS,OK,2006-11-28,2026-07-17,4845,0,14,2,1,0,0
NLCINDIA.NS,OK,2005-01-03,2026-07-17,5319,0,15,2,1,0,0
CESC.NS,OK,2005-01-03,2026-07-17,5319,0,15,2,2,0,0
IEX.NS,OK,2017-10-23,2026-07-17,2161,0,5,2,1,0,0
COALINDIA.NS,OK,2010-11-04,2026-07-17,3874,0,11,2,0,0,0
^CNXENERGY,OK,2011-01-31,2026-07-10,3787,0,26,8,0,0,0
^NSEI,OK,2007-09-17,2026-07-17,4619,0,31,7,0,0,0
^NSEBANK,OK,2007-09-17,2026-07-17,4634,0,15,2,0,0,0
